State,Year,Population,Population Percentage,StateID
Wisconsin,2000,190011,3.5,WI
Wyoming,2000,12374,2.5,WY
Alabama,2010,170331,3.6,AL
Alaska,2010,46651,6.5,AK
Arizona,2010,861224,13.4,AZ
Arkansas,2010,132832,4.5,AR
California,2010,10143659,27.2,CA
Colorado,2010,490875,9.7,CO
Connecticut,2010,472726,13.2,CT
Delaware,2010,69865,7.8,DE
District of Columbia,2010,79877,13.2,DC
Florida,2010,3667840,19.5,FL
Georgia,2010,939820,9.7,GA
Hawaii,2010,243542,17.9,HI
Idaho,2010,89387,5.7,ID
Illinois,2010,1759453,13.7,IL
Indiana,2010,300115,4.6,IN
Iowa,2010,140808,4.6,IA
Kansas,2010,187333,6.6,KS
Kentucky,2010,146758,3.4,KY
Louisiana,2010,166967,3.7,LA
Maine,2010,47904,3.6,ME
Maryland,2010,805758,13.9,MD
Massachusetts,2010,975032,14.9,MA
Michigan,2010,582547,5.9,MI
Minnesota,2010,378104,7.1,MN
Mississippi,2010,62981,2.1,MS
Missouri,2010,233002,3.9,MO
Montana,2010,19856,2,MT
Nebraska,2010,109269,6,NE
Nevada,2010,508217,18.8,NV
New Hampshire,2010,70698,5.4,NH
New Jersey,2010,1846112,21,NJ
New Mexico,2010,208154,10.1,NM
New York,2010,4301158,22.2,NY
North Carolina,2010,719646,7.5,NC
North Dakota,2010,16656,2.5,ND
Ohio,2010,469067,4.1,OH
Oklahoma,2010,209821,5.6,OK
Oregon,2010,374361,9.8,OR
Pennsylvania,2010,727013,5.7,PA
Rhode Island,2010,130628,12.4,RI
South Carolina,2010,213211,4.6,SC
South Dakota,2010,21182,2.6,SD
Tennessee,2010,289769,4.6,TN
Texas,2010,4139412,16.4,TX
Utah,2010,230815,8.3,UT
Vermont,2010,27979,4.5,VT
Virginia,2010,903310,11.3,VA
Washington,2010,894264,13.3,WA
West Virginia,2010,22544,1.2,WV
Wisconsin,2010,251763,4.4,WI
Wyoming,2010,16579,2.9,WY
Alabama,2018,163318,3.3,AL
Alaska,2018,57127,7.7,AK
Arizona,2018,961236,13.4,AZ
Arkansas,2018,147109,4.9,AR
California,2018,10609674,26.8,CA
Colorado,2018,557944,9.8,CO
Connecticut,2018,522022,14.6,CT
Delaware,2018,90373,9.3,DE
District of Columbia,2018,99022,14.1,DC
Florida,2018,4472190,21,FL
Georgia,2018,1064448,10.1,GA
Hawaii,2018,264546,18.6,HI
